day,high_low,weather,weather_icon
1,13/4,晴れ,☀
2,13/4,晴れ,☀
3,14/4,晴れ,☀
4,13/5,晴れ,☀
5,11/5,晴れ,☀
6,8/1,晴れ,☀
7,10/0,晴れ,☀
8,7/3,曇り,☁
9,11/5,晴れ,☀
10,13/6,晴れ,☀
11,11/4,晴れ,☀
12,11/2,晴れ,☀
13,12/7,晴れ,☀
14,7/1,晴れ,☀
15,5/-1,晴れ,☀
16,8/-1,晴れ,☀
17,11/2,晴れ,☀
18,11/2,晴れ,☀
19,11/4,晴れ,☀
20,4/1,曇り,☁
21,11/2,晴れ,☀
22,13/2,晴れ,☀
23,8/3,晴れ,☀
24,8/0,晴れ,☀
25,10/1,晴れ,☀
26,11/0,晴れ,☀
27,16/5,晴れ,☀
28,13/4,晴れ,☀
29,14/5,晴れ,☀
30,18/8,晴れ,☀
31,11/4,晴れ,☀
